order,sample_species,pie_type,latitude,longitude,count
0,Apis nigrocincta,pie_Ani,-5.06681,119.832,36
0,Apis andreniformis,pie_Aa,21.72562,101.58658,33
0,Apis laboriosa,pie_Al,23.925065,101.588994,28
0,unkown ,pie_other,39.9979317,116.304272,23
0,Apis d.binghami,pie_Ad,-5.06681,119.832,21
0,Apis florea,pie_Af,24.04643,101.59997,19
0,unkown ,pie_other,21.9272627,101.253068,17
0,Apis dorsata,pie_Ad,21.9272627,101.253068,14
0,Apis nuluensis,pie_Anu,5.52805,116.50638,13
0,Apis nuluensis,pie_Anu,6.02664,116.60124,13
1,Apis cerana,pie_Ac,33.65706,107.56796,12
0,Apis laboriosa,pie_Al,24.15788,101.43172,10
0,Nomia sp,pie_other,21.9272627,101.253068,10
0,Apis nuluensis,pie_Anu,5.81299,116.33814,10
0,Apis nuluensis,pie_Anu,5.82981,116.3417,10
0,Apis koschevnikovi,pie_Ak,4.467645,117.375604,10
1,Apis cerana,pie_Ac,4.4376,117.492835,10
1,Apis cerana,pie_Ac,6.91353,116.74559,10
0,Apis florea,pie_Af,21.72562,101.58658,9
0,Apis andreniformis,pie_Aa,21.9272627,101.253068,9
0,Apis koschevnikovi,pie_Ak,6.91353,116.74559,9
0,Apis nuluensis,pie_Anu,5.84493,116.32554,8
0,Apis koschevnikovi,pie_Ak,4.51828,118.19139,8
0,Apis koschevnikovi,pie_Ak,5.293832,116.0419,8
0,Apis koschevnikovi,pie_Ak,5.31708,116.07588,8
0,Apis koschevnikovi,pie_Ak,5.83626,116.11364,8
0,Apis koschevnikovi,pie_Ak,5.86726,117.95511,8
0,Apis dorsata,pie_Ad,4.4376,117.492835,8
0,Xylocopa sp,pie_other,21.9272627,101.253068,6
1,Apis cerana,pie_Ac,23.5207,103.3979,6
1,Apis cerana,pie_Ac,31.924636,102.113214,6
1,Apis cerana,pie_Ac,32.52392,104.59216,6
1,Apis cerana,pie_Ac,33.66579,107.57678,6
1,Apis cerana,pie_Ac,43.4507,128.78045,6
0,Xylocopa tumida,pie_other,21.9272627,101.253068,5
1,Apis cerana,pie_Ac,5.44997,116.3124,5
1,Apis cerana,pie_Ac,5.82981,116.3417,5
1,Apis cerana,pie_Ac,6.02664,116.60124,5
0,Apis dorsata,pie_Ad,21.927586,101.2547,4
0,Apis dorsata,pie_Ad,5.44321,116.45129,4
1,Apis cerana,pie_Ac,36.047225,101.43906,4
0,Apis florea,pie_Af,21.9272627,101.253068,3
0,Apis florea,pie_Af,22.1286,100.676666,3
0,Andrena sp,pie_other,29.100556,117.974722,3
0,Nomia sp,pie_other,22.1286,100.676666,3
0,Apis andreniformis,pie_Aa,21.928333,101.248056,3
0,Apis dorsata,pie_Ad,22.1286,100.676666,3
1,Apis cerana,pie_Ac,32.53011,104.47551,3
1,Apis cerana,pie_Ac,32.53063,104.57895,3
1,Apis cerana,pie_Ac,32.53156,104.47321,3
1,Apis cerana,pie_Ac,32.53402,104.47208,3
1,Apis cerana,pie_Ac,32.96745,104.10421,3
1,Apis cerana,pie_Ac,34.1120197,72.3732738,3
0,Evylaeus calceatum,pie_other,29.100556,117.974722,2
0,Apis andreniformis,pie_Aa,5.46397,116.44928,2
1,Apis cerana,pie_Ac,18.2615,109.5243,2
1,Apis cerana,pie_Ac,32.5286,104.58438,2
0,Apis mellifera,pie_Am,29.100556,117.974722,1
0,Andrena sp,pie_other,31.258889,116.853611,1
0,Eucera pekingensis,pie_other,40.03024,115.83848,1
0,Evylaeus sp,pie_other,29.100556,117.974722,1
0,Halictus arearius,pie_other,40.03024,115.83848,1
0,Polistes antennalis,pie_other,40.03024,115.83848,1
0,Xylocopa sp,pie_other,22.1286,100.676666,1
0,Xylocopa sp,pie_other,29.100556,117.974722,1
0,Xylocopa sp,pie_other,21.9272627,101.253068,1
0,Apis nuluensis,pie_Anu,6.01182,116.53441,1
0,Apis andreniformis,pie_Aa,5.44997,116.3124,1
0,Apis koschevnikovi,pie_Ak,4.3972,117.888242,1
0,Apis koschevnikovi,pie_Ak,5.6605,117.31635,1
1,Apis cerana,pie_Ac,19.5433,110.7977,1
1,Apis cerana,pie_Ac,20.054622,110.594062,1
1,Apis cerana,pie_Ac,34.0836,74.797,1
1,Apis cerana,pie_Ac,34.484,74.072,1
1,Apis cerana,pie_Ac,34.498,74.419,1
