order,sample_species,pie_type,latitude,longitude,count
0,Apis mellifera,pie_Am,43.8711,126.5803,9
1,Apis cerana,pie_Ac,43.8711,126.5803,6
1,Apis cerana,pie_Ac,32.52392,104.59216,5
1,Apis cerana,pie_Ac,32.53063,104.57895,5
1,Apis cerana,pie_Ac,32.5286,104.58438,4
0,Apis dorsata,pie_Ad,5.44321,116.45129,3
0,Apis mellifera,pie_Am,40.01724265,116.2598985,3
1,Apis cerana,pie_Ac,31.924636,102.113214,3
0,Apis andreniformis,pie_Aa,21.72562,101.58658,2
0,Apis dorsata,pie_Ad,4.4376,117.492835,2
0,Apis koschevnikovi,pie_Ak,5.31708,116.07588,2
0,Apis laboriosa,pie_Al,27.50736,98.28076,2
0,Apis nigrocincta,pie_Ani,-5.06681,119.832,2
0,Apis nuluensis,pie_Anu,6.02664,116.60124,2
1,Apis cerana,pie_Ac,29.01779,115.49205,2
1,Apis cerana,pie_Ac,29.85944,95.76826,2
1,Apis cerana,pie_Ac,32.53156,104.47321,2
1,Apis cerana,pie_Ac,32.53402,104.47208,2
1,Apis cerana,pie_Ac,36.047225,101.43906,2
0,Apis andreniformis,pie_Aa,5.44321,116.45129,1
0,Apis d.binghami,pie_Ad,-5.02785,119.67544,1
0,Apis florea,pie_Af,21.72562,101.58658,1
0,Apis florea,pie_Af,24.04643,101.59997,1
0,Apis koschevnikovi,pie_Ak,5.43115,116.44528,1
0,Apis koschevnikovi,pie_Ak,6.91353,116.74559,1
0,Apis laboriosa,pie_Al,27.78041,98.47991,1
0,Apis nuluensis,pie_Anu,5.52805,116.50638,1
0,Apis nuluensis,pie_Anu,5.81327,116.33819,1
0,Apis nuluensis,pie_Anu,5.82981,116.3417,1
0,Apis nuluensis,pie_Anu,6.03021,116.60163,1
0,Bombus difficillimus,pie_others,33.66579,107.57678,1
0,Bombus sp,pie_others,24.3258,101.0174,1
0,unkown,pie_others,39.8187,115.5865,1
1,Apis cerana,pie_Ac,18.2615,109.5243,1
1,Apis cerana,pie_Ac,23.5207,103.3979,1
1,Apis cerana,pie_Ac,32.53011,104.47551,1
1,Apis cerana,pie_Ac,33.66579,107.57678,1
1,Apis cerana,pie_Ac,43.4507,128.78045,1
1,Apis cerana,pie_Ac,5.10304,115.94519,1
1,Apis cerana,pie_Ac,5.44997,116.3124,1
1,Apis cerana,pie_Ac,5.81299,116.33814,1
1,Apis cerana,pie_Ac,5.98493,116.08474,1
