sample_species,strain_genus,count,strain_genus_color
Apis mellifera,Acetobacteraceae,6,x50
Apis mellifera,Bartonella,23,x55
Bombus sp,Bifidobacterium,4,x60
Apis mellifera,Commensalibacter,2,x65
Apis dorsata,Erwinia,4,x70
Apis cerana,Escherichia,5,x75
Apis cerana,Gilliamella,410,x10
Apis koschevnikovi,Gilliamella,9,x10
Apis nuluensis,Gilliamella,51,x10
unkown ,Gilliamella,10,x10
Apis andreniformis,Lactobacillus,7,x200
Apis cerana,Lactobacillus,28,x200
Apis florea,Lactobacillus,19,x200
Apis koschevnikovi,Lactobacillus,8,x200
Apis laboriosa,Lactobacillus,16,x200
Apis cerana,Lactococcus,3,x200
Apis cerana,Lysinibacillus,1,x80
Apis dorsata,no,4,x85
Apis mellifera,Pasteurellaceae,2,x150
Apis nuluensis,Pasteurellaceae,4,x150
Apis nuluensis,Providencia,1,x140
Apis cerana,Pseudomonadaceae,8,x145
Apis dorsata,Pseudomonas,6,x120
Apis laboriosa,Pseudomonas,2,x120
Apis nigrocincta,Rosenbergiella,1,x135
Apis cerana,Snodgrassella,11,x180
Apis dorsata,Snodgrassella,2,x180
Apis florea,Snodgrassella,2,x180
Apis mellifera,Snodgrassella,13,x180
Apis nigrocincta,Snodgrassella,2,x180
Apis andreniformis,Staphylococcus,1,x185
Apis nuluensis,Staphylococcus,2,x185
Apis andreniformis,unknown,15,x165
Apis cerana,unknown,14,x165
Apis dorsata,unknown,2,x165
Apis mellifera,unknown,5,x165
Bombus difficillimus,unknown,2,x165
Apis laboriosa,Vagococcus,1,x170
Apis cerana,Weissella,24,x175
