order,sample_species,pie_type,latitude,longitude,count
0,Apis mellifera,pie_Am,43.8711,126.5803,300
77,Apis cerana,pie_Ac,22.146111,111.237222,191
136,Apis cerana,pie_Ac,29.0831,119.5663,174
85,Apis cerana,pie_Ac,23.76458,109.231,149
209,Apis cerana,pie_Ac,36.047225,101.43906,131
24,Apis cerana,pie_Ac,5.44997,116.3124,130
81,Apis cerana,pie_Ac,23.5186,103.427,120
102,Apis cerana,pie_Ac,26.4398,106.65442,120
195,Apis cerana,pie_Ac,35.4863,112.414957,120
0,Apis nigrocincta,pie_Ani,-5.06681,119.832,110
210,Apis cerana,pie_Ac,36.21715,120.562,108
148,Apis cerana,pie_Ac,30.918,117.1856,100
181,Apis cerana,pie_Ac,34.3505,105.9898,99
207,Apis cerana,pie_Ac,35.9972,106.1442,99
0,Apis dorsata,pie_Ad,-5.06681,119.832,97
141,Apis cerana,pie_Ac,29.85944,95.76826,97
159,Apis cerana,pie_Ac,31.924636,102.113214,97
132,Apis cerana,pie_Ac,29.01779,115.49205,96
219,Apis cerana,pie_Ac,40.6117,120.75,95
52,Apis cerana,pie_Ac,19.295833,109.7225,89
83,Apis cerana,pie_Ac,23.5207,103.3979,84
20,Apis cerana,pie_Ac,5.40079,116.1017,83
137,Apis cerana,pie_Ac,29.3494,110.5537,82
0,Apis laboriosa,pie_Al,23.925065,101.588994,80
101,Apis cerana,pie_Ac,26.0844,119.2362,80
0,Apis dorsata,pie_Ad,5.44321,116.45129,75
138,Apis cerana,pie_Ac,29.417778,105.610833,75
226,Apis cerana,pie_Ac,43.4507,128.78045,72
0,Apis florea,pie_Af,24.04643,101.59997,70
112,Apis cerana,pie_Ac,27.11339,103.39605,69
175,Apis cerana,pie_Ac,33.65706,107.56796,67
147,Apis cerana,pie_Ac,30.70376,121.056,64
0,Apis andreniformis,pie_Aa,21.72562,101.58658,60
168,Apis cerana,pie_Ac,32.91036,104.15777,57
0,Apis koschevnikovi,pie_Ak,5.31708,116.07588,53
49,Apis cerana,pie_Ac,19.175278,109.743611,50
44,Apis cerana,pie_Ac,16.76705,112.24441,49
215,Apis cerana,pie_Ac,37.5236,114.0907,48
189,Apis cerana,pie_Ac,34.6493,113.6057,46
208,Apis cerana,pie_Ac,36.0264,101.4033,46
146,Apis cerana,pie_Ac,30.5669,114.3868,44
79,Apis cerana,pie_Ac,22.588889,114.4575,42
0,Apis florea,pie_Af,21.928333,101.248056,41
161,Apis cerana,pie_Ac,32.47095,104.7244,38
0,Apis nuluensis,pie_Anu,5.52805,116.50638,36
22,Apis cerana,pie_Ac,5.443056,116.451111,34
0,Apis andreniformis,pie_Aa,5.44997,116.3124,31
73,Apis cerana,pie_Ac,22.013333,100.619444,31
0,Apis andreniformis,pie_Aa,5.44321,116.45129,29
180,Apis cerana,pie_Ac,34.15144,109.32,28
0,Apis koschevnikovi,pie_Ak,6.91353,116.74559,27
35,Apis cerana,pie_Ac,5.98493,116.08474,27
120,Apis cerana,pie_Ac,27.70503,98.72739,26
176,Apis cerana,pie_Ac,33.66579,107.57678,25
0,Apis nuluensis,pie_Anu,5.82981,116.3417,24
64,Apis cerana,pie_Ac,21.9199,101.2779,24
149,Apis cerana,pie_Ac,31.3181,119.44438,24
0,Apis laboriosa,pie_Al,24.15788,101.43172,23
28,Apis cerana,pie_Ac,5.4931,116.4923,23
167,Apis cerana,pie_Ac,32.53402,104.47208,23
0,Apis florea,pie_Af,23.84,101.72788,22
169,Apis cerana,pie_Ac,32.96745,104.10421,22
0,Apis florea,pie_Af,21.9351,101.24885,21
0,Apis koschevnikovi,pie_Ak,4.4376,117.492835,21
0,Apis koschevnikovi,pie_Ak,5.443056,116.451111,21
0,Apis koschevnikovi,pie_Ak,5.293832,116.0419,21
0,Apis florea,pie_Af,24.0492,101.5768,20
34,Apis cerana,pie_Ac,5.86726,117.95511,20
36,Apis cerana,pie_Ac,6.011,116.45,20
0,Apis florea,pie_Af,21.72562,101.58658,19
0,Apis florea,pie_Af,21.11688,94.53637,19
42,Apis cerana,pie_Ac,10.115,105.115,19
0,Apis nuluensis,pie_Anu,6.02664,116.60124,18
23,Apis cerana,pie_Ac,5.44321,116.45129,18
0,Apis florea,pie_Af,24.35766,100.46785,17
0,Apis koschevnikovi,pie_Ak,4.467645,117.375604,17
0,Apis laboriosa,pie_Al,27.78041,98.47991,16
0,Apis florea,pie_Af,21.51185,96.01194,16
38,Apis cerana,pie_Ac,6.02664,116.60124,16
63,Apis cerana,pie_Ac,21.835458,112.2300745,16
103,Apis cerana,pie_Ac,26.49808,100.2522,16
109,Apis cerana,pie_Ac,27.00727,100.15738,16
166,Apis cerana,pie_Ac,32.53156,104.47321,16
0,Apis dorsata,pie_Ad,21.927586,101.2547,15
0,Apis dorsata,pie_Ad,21.92726271,101.2530682,15
46,Apis cerana,pie_Ac,18.2615,109.5243,15
0,Apis nuluensis,pie_Anu,5.81327,116.33819,14
26,Apis cerana,pie_Ac,5.46397,116.44928,14
41,Apis cerana,pie_Ac,6.91353,116.74559,14
96,Apis cerana,pie_Ac,25.12681798,121.7261455,14
124,Apis cerana,pie_Ac,27.89794,98.6691,14
0,Apis nuluensis,pie_Anu,5.84493,116.32554,13
18,Apis cerana,pie_Ac,5.10304,115.94519,13
40,Apis cerana,pie_Ac,6.16419,116.56615,13
0,Apis koschevnikovi,pie_Ak,5.83626,116.11364,12
33,Apis cerana,pie_Ac,5.83626,116.11364,12
0,Apis koschevnikovi,pie_Ak,5.86726,117.95511,11
32,Apis cerana,pie_Ac,5.82981,116.3417,11
114,Apis cerana,pie_Ac,27.15071,100.09503,11
162,Apis cerana,pie_Ac,32.52392,104.59216,11
0,Apis nuluensis,pie_Anu,6.03021,116.60163,10
0,Apis nuluensis,pie_Anu,5.81299,116.33814,10
0,Apis andreniformis,pie_Aa,21.92726271,101.2530682,10
0,Apis dorsata,pie_Ad,4.4376,117.492835,10
15,Apis cerana,pie_Ac,4.4376,117.492835,10
17,Apis cerana,pie_Ac,4.51828,118.19139,10
88,Apis cerana,pie_Ac,24.3258,101.0174,10
89,Apis cerana,pie_Ac,24.35766,100.46785,10
108,Apis cerana,pie_Ac,27.00367,100.09197,10
115,Apis cerana,pie_Ac,27.41194,98.16933,10
165,Apis cerana,pie_Ac,32.53063,104.57895,10
205,Apis cerana,pie_Ac,35.7664,102.5587,10
0,Apis florea,pie_Af,22.1286,100.676666,9
0,Apis koschevnikovi,pie_Ak,4.51828,118.19139,9
0,Apis dorsata,pie_Ad,5.443056,116.451111,9
43,Apis cerana,pie_Ac,16.7447497,100.1829199,9
144,Apis cerana,pie_Ac,30.02333333,95.28583333,9
0,Apis laboriosa,pie_Al,27.50736,98.28076,8
0,Apis florea,pie_Af,21.10374,94.52481,8
0,Apis andreniformis,pie_Aa,16.7447497,100.1829199,8
0,Apis koschevnikovi,pie_Ak,5.6605,117.31635,8
19,Apis cerana,pie_Ac,5.31708,116.07588,8
37,Apis cerana,pie_Ac,6.01182,116.53441,8
59,Apis cerana,pie_Ac,21.613611,101.565278,8
66,Apis cerana,pie_Ac,21.928333,101.248056,8
123,Apis cerana,pie_Ac,27.7861,98.52809,8
13,Apis cerana,pie_Ac,3.1090424,101.6261912,7
21,Apis cerana,pie_Ac,5.41639,116.3883,7
27,Apis cerana,pie_Ac,5.46677,116.06035,7
29,Apis cerana,pie_Ac,5.52805,116.50638,7
163,Apis cerana,pie_Ac,32.5286,104.58438,7
0,Apis andreniformis,pie_Aa,21.928333,101.248056,6
116,Apis cerana,pie_Ac,27.41404,98.1885,6
152,Apis cerana,pie_Ac,31.5169,101.8528,6
157,Apis cerana,pie_Ac,31.894016,102.125628,6
179,Apis cerana,pie_Ac,34.1120197,72.3732738,6
188,Apis cerana,pie_Ac,34.588861,107.711363,6
0,Apis florea,pie_Af,21.92726271,101.2530682,5
0,Apis mellifera,pie_Am,36.0925,94.8505,5
0,Apis koschevnikovi,pie_Ak,4.3972,117.888242,5
